G191B2B,05 05 31,+52 49 54,J2000
Hiltner600,06 45 13,+02 08 14,J2000
PG0823+546,08 26 50,54 28 00,J2000
Feige34,10 39 37,+43 06 10,J2000
GD140,11 37 05,+29 47 58,J2000
Feige66,12 37 24,+25 04 00,J2000
Feige67,12 41 52,+17 31 21,J2000
HZ44,13 23 35,+36 08 00,J2000
Wolf1346,20 34 22,24 03 50,J2000
BD+284211,21 51 11,+28 51 52,J2000
Feige110,23 19 58,-05 09.56,J2000
